date,GDP_constant_USD,GDP_current_USD,Inflation_annual_pct,GDP_per_capita_constant
2023,56862826231.0464,67006756666.3604,,537.507995280245
2022,52355494715.7899,65801547755.6552,,511.29926733563
2021,48065880294.8504,55328482783.5393,,484.784649973339
2020,45259708653.5116,48716961860.1325,,471.504423341186
2019,44487659679.0188,51775829877.2088,,478.632426258904
2018,42619016590.6593,47568210009.8172,,473.294077418165
2017,40274584268.021,38019264794.8263,,462.482920889479
2016,38827503534.0756,37134801555.3322,2.88585107290007,462.47214741215
2015,37917706497.1793,37917706497.1793,0.744198994781517,467.9145805459
2014,35464895084.4787,35909040925.9375,1.24303889760764,452.339650501681
2013,32396822644.9769,32679745048.4427,0.808223101487066,427.458520350728
2012,29863789011.1578,29306235285.2597,,407.671076943679
2011,27887434695.4583,25839749199.3671,,393.616173563894
2010,26093586500.1699,21565721044.8462,,380.578038274352
2009,24361945145.7942,18648372553.0921,,366.830226544363
2008,23685703159.349,19788515590.1284,,367.843747648712
2007,22297485299.9942,16737071816.38,,356.886805082139
2006,20983996692.9237,14451901696.3878,,346.179697463638
2005,19923852569.0654,11964484465.9388,,338.980980805364
2004,18772152630.0713,10297483481.223,,329.3490636773
2003,17587070083.9155,8937567059.87754,,317.778121357431
2002,16657920857.6924,8728038525.14034,,309.911785375198
2001,16180944606.2133,7438189100.33333,,310.380267408895
2000,16528062516.7262,19088046305.7971,,327.240142486849
1999,17755104912.179,4711259427.27273,,362.993793858463
1998,18547091854.4434,6217805820.77104,,392.136003823522
1997,18853298464.0232,6090838693.27145,,409.588064385259
1996,19975321585.7342,5771456952.1908,,440.994059132614
1995,20181816409.8988,5643439376.10491,,454.200631347294
1994,20041525962.687,5820382248.28202,,470.161734645697
1993,20854865032.2402,10706259936.7425,,512.954857325072
1992,24101047269.1386,8227343907.26679,,614.369536883349
1991,26928547011.7025,9625436872.51075,,710.032087422205
1990,29404734879.0512,9349764580.41173,,801.567015056407
1989,31471907548.358,9021862775.18112,,886.860720480585
1988,31875467102.209,8861299976.74158,,927.077247982041
1987,31726232824.1508,7661625472.57705,,952.77108292065
1986,30899473396.7292,8095367168.21769,,957.671957013036
1985,29507540832.1133,7195042616.0071,,943.793842641303
1984,29370132388.4399,7857729193.20343,,971.071374827525
1983,27828153788.0939,11006712650.4481,,951.358551446458
1982,27440771406.0667,13651667371.1676,,968.331830863816
1981,27566939113.8669,12537821038.2202,,1002.41537708901
1980,26933852428.2533,14394927494.8647,,1008.33935841626
1979,26355374898.522,15068422236.3663,,1018.10162802476
1978,26242508947.8587,15372608002.3923,,1050.00742208486
1977,27724462281.24,12344424763.5727,,1144.26482649245
1976,27515128940.8,9648583224.99212,,1164.70931403705
1975,29057808604.2862,10237343173.6527,,1262.2249737007
1974,30581253826.7131,9596960179.64072,,1364.0849388945
1973,29652942980.9728,7870239461.07784,,1358.50275240035
1972,27421573863.0674,6173712814.37126,,1290.35656703292
1971,27380192668.2019,5594770359.28144,,1322.99781988124
1970,25829147683.1779,4877684910.17964,,1282.64331582123
1969,25892599199.9782,5032434970.05988,,1323.0460114718
1968,23683229243.6388,3909780538.92216,,1245.68660892435
1967,22699718872.7045,3384063371.75792,,1229.48528952487
1966,22925706424.3485,4532660181.81818,,1278.48523292439
1965,21470945657.204,4043901818.18182,,1231.99389442249
1964,21258920074.3257,2881545272.72727,,1253.81952670838
1963,21790660916.8778,6213185742.57426,,1320.03817859144
1962,20710801756.5469,3779841428.57143,,1288.32777649995
1961,17088021918.3686,3086746857.14286,,1091.02374380592
1960,19168015351.9806,3359404117.64706,,1255.69660853314
